phase     , domain        , ip            , hop, status  , hop_address    , rtt_ms, raw_line
dns       , github.com    , 140.82.121.3  ,    , resolved,                ,       , 
traceroute, github.com    , 140.82.121.3  ,   1, ok      , 192.168.50.1   ,  1.892, 1  192.168.50.1  1.892 ms
traceroute, github.com    , 140.82.121.3  ,   2, ok      , 172.16.4.1     ,  3.928, 2  172.16.4.1  3.928 ms
traceroute, github.com    , 140.82.121.3  ,   3, ok      , 192.168.10.1   ,  2.898, 3  192.168.10.1  2.898 ms
traceroute, github.com    , 140.82.121.3  ,   4, ok      , 192.168.11.1   ,  2.569, 4  192.168.11.1  2.569 ms
traceroute, github.com    , 140.82.121.3  ,   5, ok      , 194.67.59.184  ,  4.146, 5  194.67.59.184  4.146 ms
traceroute, github.com    , 140.82.121.3  ,   6, ok      , 79.104.235.74  , 92.051, 6  79.104.235.74  92.051 ms
traceroute, github.com    , 140.82.121.3  ,   7, ok      , 80.81.196.80   , 85.370, 7  80.81.196.80  85.370 ms
traceroute, github.com    , 140.82.121.3  ,   8, timeout ,                ,       , 8  *
traceroute, github.com    , 140.82.121.3  ,   9, timeout ,                ,       , 9  *
traceroute, github.com    , 140.82.121.3  ,  10, timeout ,                ,       , 10  *
traceroute, github.com    , 140.82.121.3  ,  11, timeout ,                ,       , 11  *
traceroute, github.com    , 140.82.121.3  ,  12, timeout ,                ,       , 12  *
traceroute, github.com    , 140.82.121.3  ,  13, timeout ,                ,       , 13  *
traceroute, github.com    , 140.82.121.3  ,  14, timeout ,                ,       , 14  *
traceroute, github.com    , 140.82.121.3  ,  15, timeout ,                ,       , 15  *
traceroute, github.com    , 140.82.121.3  ,  16, timeout ,                ,       , 16  *
traceroute, github.com    , 140.82.121.3  ,  17, timeout ,                ,       , 17  *
traceroute, github.com    , 140.82.121.3  ,  18, timeout ,                ,       , 18  *
traceroute, github.com    , 140.82.121.3  ,  19, timeout ,                ,       , 19  *
traceroute, github.com    , 140.82.121.3  ,  20, timeout ,                ,       , 20  *
traceroute, github.com    , 140.82.121.3  ,  21, timeout ,                ,       , 21  *
traceroute, github.com    , 140.82.121.3  ,  22, timeout ,                ,       , 22  *
traceroute, github.com    , 140.82.121.3  ,  23, timeout ,                ,       , 23  *
traceroute, github.com    , 140.82.121.3  ,  24, timeout ,                ,       , 24  *
traceroute, github.com    , 140.82.121.3  ,  25, timeout ,                ,       , 25  *
traceroute, github.com    , 140.82.121.3  ,  26, timeout ,                ,       , 26  *
traceroute, github.com    , 140.82.121.3  ,  27, timeout ,                ,       , 27  *
traceroute, github.com    , 140.82.121.3  ,  28, timeout ,                ,       , 28  *
traceroute, github.com    , 140.82.121.3  ,  29, timeout ,                ,       , 29  *
traceroute, github.com    , 140.82.121.3  ,  30, timeout ,                ,       , 30  *
dns       , wikipedia.org , 185.15.59.224 ,    , resolved,                ,       , 
traceroute, wikipedia.org , 185.15.59.224 ,   1, ok      , 192.168.50.1   ,  1.016, 1  192.168.50.1  1.016 ms
traceroute, wikipedia.org , 185.15.59.224 ,   2, ok      , 172.16.4.1     ,  4.967, 2  172.16.4.1  4.967 ms
traceroute, wikipedia.org , 185.15.59.224 ,   3, ok      , 192.168.10.1   ,  4.368, 3  192.168.10.1  4.368 ms
traceroute, wikipedia.org , 185.15.59.224 ,   4, ok      , 192.168.11.1   ,  4.046, 4  192.168.11.1  4.046 ms
traceroute, wikipedia.org , 185.15.59.224 ,   5, ok      , 194.67.59.184  ,  5.176, 5  194.67.59.184  5.176 ms
traceroute, wikipedia.org , 185.15.59.224 ,   6, ok      , 79.104.225.148 , 89.753, 6  79.104.225.148  89.753 ms
traceroute, wikipedia.org , 185.15.59.224 ,   7, timeout ,                ,       , 7  *
traceroute, wikipedia.org , 185.15.59.224 ,   8, timeout ,                ,       , 8  *
traceroute, wikipedia.org , 185.15.59.224 ,   9, timeout ,                ,       , 9  *
traceroute, wikipedia.org , 185.15.59.224 ,  10, timeout ,                ,       , 10  *
traceroute, wikipedia.org , 185.15.59.224 ,  11, timeout ,                ,       , 11  *
traceroute, wikipedia.org , 185.15.59.224 ,  12, timeout ,                ,       , 12  *
traceroute, wikipedia.org , 185.15.59.224 ,  13, timeout ,                ,       , 13  *
traceroute, wikipedia.org , 185.15.59.224 ,  14, timeout ,                ,       , 14  *
traceroute, wikipedia.org , 185.15.59.224 ,  15, timeout ,                ,       , 15  *
traceroute, wikipedia.org , 185.15.59.224 ,  16, timeout ,                ,       , 16  *
traceroute, wikipedia.org , 185.15.59.224 ,  17, timeout ,                ,       , 17  *
traceroute, wikipedia.org , 185.15.59.224 ,  18, timeout ,                ,       , 18  *
traceroute, wikipedia.org , 185.15.59.224 ,  19, timeout ,                ,       , 19  *
traceroute, wikipedia.org , 185.15.59.224 ,  20, timeout ,                ,       , 20  *
traceroute, wikipedia.org , 185.15.59.224 ,  21, timeout ,                ,       , 21  *
traceroute, wikipedia.org , 185.15.59.224 ,  22, timeout ,                ,       , 22  *
traceroute, wikipedia.org , 185.15.59.224 ,  23, timeout ,                ,       , 23  *
traceroute, wikipedia.org , 185.15.59.224 ,  24, timeout ,                ,       , 24  *
traceroute, wikipedia.org , 185.15.59.224 ,  25, timeout ,                ,       , 25  *
traceroute, wikipedia.org , 185.15.59.224 ,  26, timeout ,                ,       , 26  *
traceroute, wikipedia.org , 185.15.59.224 ,  27, timeout ,                ,       , 27  *
traceroute, wikipedia.org , 185.15.59.224 ,  28, timeout ,                ,       , 28  *
traceroute, wikipedia.org , 185.15.59.224 ,  29, timeout ,                ,       , 29  *
traceroute, wikipedia.org , 185.15.59.224 ,  30, timeout ,                ,       , 30  *
dns       , cloudflare.com, 104.16.132.229,    , resolved,                ,       , 
traceroute, cloudflare.com, 104.16.132.229,   1, ok      , 192.168.50.1   ,  0.996, 1  192.168.50.1  0.996 ms
traceroute, cloudflare.com, 104.16.132.229,   2, ok      , 172.16.4.1     ,  2.836, 2  172.16.4.1  2.836 ms
traceroute, cloudflare.com, 104.16.132.229,   3, ok      , 192.168.10.1   ,  2.172, 3  192.168.10.1  2.172 ms
traceroute, cloudflare.com, 104.16.132.229,   4, ok      , 192.168.11.1   ,  1.888, 4  192.168.11.1  1.888 ms
traceroute, cloudflare.com, 104.16.132.229,   5, ok      , 194.67.59.184  ,  3.338, 5  194.67.59.184  3.338 ms
traceroute, cloudflare.com, 104.16.132.229,   6, ok      , 79.104.247.45  , 14.020, 6  79.104.247.45  14.020 ms
traceroute, cloudflare.com, 104.16.132.229,   7, ok      , 195.218.204.255, 15.044, 7  195.218.204.255  15.044 ms
traceroute, cloudflare.com, 104.16.132.229,   8, ok      , 104.16.132.229 , 14.810, 8  104.16.132.229  14.810 ms
dns       , cloudflare.com, 104.16.133.229,    , resolved,                ,       , 
traceroute, cloudflare.com, 104.16.133.229,   1, ok      , 192.168.50.1   ,  1.218, 1  192.168.50.1  1.218 ms
traceroute, cloudflare.com, 104.16.133.229,   2, ok      , 172.16.4.1     ,  2.955, 2  172.16.4.1  2.955 ms
traceroute, cloudflare.com, 104.16.133.229,   3, ok      , 192.168.10.1   ,  2.107, 3  192.168.10.1  2.107 ms
