Name,Author,Description,Language,Stars
awesome-machine-learning,josephmisiti,"A curated list of awesome Machine Learning frameworks, libraries and software.",Python,71.8k
MachineLearning,wepe,Basic Machine Learning and Deep Learning,Python,5.6k
MachineLearning_Python,lawlite19,机器学习算法python实现,Python,8.4k
Machine-Learning,Jack-Cherish,⚡机器学习实战（Python3）：kNN、决策树、贝叶斯、逻辑回归、SVM、线性回归、树回归,Python,10.2k
machine-learning,udacity,Content for Udacity's Machine Learning curriculum,Jupyter Notebook,4k
MachineLearningNotebooks,Azure,Python notebooks with ML and deep learning examples with Azure Machine Learning Python SDK | Microsoft,Jupyter Notebook,4.4k
homemade-machine-learning,trekhleb,🤖 Python examples of popular machine learning algorithms with interactive Jupyter demos and math being explained,Jupyter Notebook,24.3k
machine_learning_examples,lazyprogrammer,A collection of machine learning examples and tutorials.,Python,8.8k
Machine-Learning-Tutorials,ujjwalkarn,"machine learning and deep learning tutorials, articles and other resources",,17.6k
machine-learning-for-trading,stefan-jansen,"Code for Machine Learning for Algorithmic Trading, 2nd edition.",Jupyter Notebook,16.6k
machine-learning-for-software-engineers,ZuzooVn,A complete daily plan for studying to become a machine learning engineer.,,28.7k
machine-learning-zoomcamp,DataTalksClub,Learn ML engineering for free in 4 months! Register here 👇🏼,Jupyter Notebook,12.7k
Machine-learning-learning-notes,Vay-keen,周志华《机器学习》又称西瓜书是一本较为全面的书籍，书中详细介绍了机器学习领域不同类型的算法(例如：监督学习、无监督学习、半监督学习、强化学习、集成降维、特征选择等)，记录了本人在学习过程中的理解思路与扩展知识点，希望对新人阅读西瓜书有所帮助！,,7.7k
python-machine-learning-book,rasbt,"The ""Python Machine Learning (1st edition)"" book code repository and info resource",Jupyter Notebook,12.6k
Machine-Learning-Collection,aladdinpersson,A resource for learning about Machine learning & Deep Learning,Python,8.4k
MachineLearning,allmachinelearning,Machine learning resources,,3.8k
stanford-cs-229-machine-learning,afshinea,VIP cheatsheets for Stanford's CS 229 Machine Learning,,19.3k
machine-learning-interview,khangich,"Machine Learning Interviews from FAANG, Snapchat, LinkedIn. I have offers from Snapchat, Coupang, Stitchfix etc. Blog: mlengineer.io.",,12.4k
awesome-production-machine-learning,EthicalML,"A curated list of awesome open source libraries to deploy, monitor, version and scale your machine learning",,20.2k
Machine-Learning-with-Python,susanli2016,Python code for common Machine Learning Algorithms,Jupyter Notebook,4.6k
Machine-Learning-Specialization-Coursera,greyhatguy007,Contains Solutions and Notes for the Machine Learning Specialization By Stanford University and Deeplearning.ai - Coursera (2022) by Pro…,Jupyter Notebook,7k
tensorflow,tensorflow,An Open Source Machine Learning Framework for Everyone,C++,194k
deploying-machine-learning-models,trainindata,"Code for the online course ""Deployment of Machine Learning Models""",Jupyter Notebook,889
scikit-learn,scikit-learn,scikit-learn: machine learning in Python,Python,65.2k
machine-learning-notes,roboticcam,"My continuously updated Machine Learning, Probabilistic Models and Deep Learning notes and demos (2000+ slides) 我不间断更新的机器学习，概率模型和深度学习的讲义(…",Jupyter Notebook,9.6k
500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,ashishpatel26,500 AI Machine learning Deep learning Computer vision NLP Projects with code,,31.9k
Lhy_Machine_Learning,Fafa-DL,李宏毅2021/2022/2023春季机器学习课程课件及作业,Jupyter Notebook,7k
Machine-Learning-Interviews,alirezadir,This repo is meant to serve as a guide for Machine Learning/AI technical interviews.,Jupyter Notebook,7.8k
dive-into-machine-learning,dive-into-machine-learning,"Free ways to dive into machine learning with Python and Jupyter Notebook. Notebooks, courses, and other links. (First posted in 2016.)",,11.4k
machine-learning-book,rasbt,Code Repository for Machine Learning with PyTorch and Scikit-Learn,Jupyter Notebook,5k
